geo,year,age,sex,indicator,value_n,flag,file
DK,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6777495637,"",lfse_inactpt_lackcare
EE,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,1.6419721684,"",lfse_inactpt_lackcare
EL,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6085338461,"",lfse_inactpt_lackcare
ES,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4464029415,"",lfse_inactpt_lackcare
EU27_2020,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,2.9345890702,"",lfse_inactpt_lackcare
EA20,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,3.4467002785,"",lfse_inactpt_lackcare
FI,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0138852533,"",lfse_inactpt_lackcare
FR,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,2.8454553394,"",lfse_inactpt_lackcare
HR,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8821657046,"",lfse_inactpt_lackcare
HU,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,1.1632616746,"",lfse_inactpt_lackcare
IE,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,2.8930725997,"",lfse_inactpt_lackcare
IT,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,2.7408293555,"",lfse_inactpt_lackcare
LT,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2397884896,"",lfse_inactpt_lackcare
LU,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,4.3678590829,"",lfse_inactpt_lackcare
